id,nome,instituicao_nome,tipo,nota_ultimo_colocado,distrito,area,peso_secundario,peso_exames,nota_minima_p_ingresso,vagas,history
0100_0170_9081,Economia,Universidade dos Açores,publica,16.0,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,20,"[{""year"": 2019, ""nota"": 12.4}, {""year"": 2020, ""nota"": 13.7}, {""year"": 2021, ""nota"": 12.9}, {""year"": 2022, ""nota"": 14.0}, {""year"": 2023, ""nota"": 12.8}, {""year"": 2024, ""nota"": 16.0}]"
0100_0170_9147,Gestão,Universidade dos Açores,publica,14.2,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,80,"[{""year"": 2019, ""nota"": 13.6}, {""year"": 2020, ""nota"": 14.6}, {""year"": 2021, ""nota"": 15.0}, {""year"": 2022, ""nota"": 14.9}, {""year"": 2023, ""nota"": 14.2}, {""year"": 2024, ""nota"": 14.2}]"
0100_0170_9254,Turismo,Universidade dos Açores,publica,13.7,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 14.8}, {""year"": 2020, ""nota"": 14.6}, {""year"": 2021, ""nota"": 13.6}, {""year"": 2022, ""nota"": 13.2}, {""year"": 2023, ""nota"": 13.9}, {""year"": 2024, ""nota"": 13.7}]"
0100_7092_9500,Enfermagem,Universidade dos Açores,publica,13.1,Açores,Ciências da Vida e Saúde,0.5,0.5,95.0,102,"[{""year"": 2019, ""nota"": 12.5}, {""year"": 2020, ""nota"": 13.8}, {""year"": 2021, ""nota"": 13.8}, {""year"": 2022, ""nota"": 14.0}, {""year"": 2023, ""nota"": 14.1}, {""year"": 2024, ""nota"": 13.1}]"
0100_7093_9500,Enfermagem,Universidade dos Açores,publica,14.6,Açores,Ciências da Vida e Saúde,0.5,0.5,95.0,102,"[{""year"": 2019, ""nota"": 13.4}, {""year"": 2020, ""nota"": 14.8}, {""year"": 2021, ""nota"": 15.0}, {""year"": 2022, ""nota"": 14.9}, {""year"": 2023, ""nota"": 14.8}, {""year"": 2024, ""nota"": 14.6}]"
0200_0201_8509,Património Cultural e Arqueologia,Universidade do Algarve,publica,13.5,Faro,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 13.2}, {""year"": 2020, ""nota"": 12.5}, {""year"": 2021, ""nota"": 13.3}, {""year"": 2022, ""nota"": 13.4}, {""year"": 2023, ""nota"": 14.0}, {""year"": 2024, ""nota"": 13.5}]"
0200_0201_9204,"Línguas, Literaturas e Culturas",Universidade do Algarve,publica,14.8,Faro,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,53,"[{""year"": 2019, ""nota"": 12.7}, {""year"": 2020, ""nota"": 12.9}, {""year"": 2021, ""nota"": 13.3}, {""year"": 2022, ""nota"": 15.1}, {""year"": 2023, ""nota"": 14.7}, {""year"": 2024, ""nota"": 14.8}]"
0200_0201_9219,Psicologia,Universidade do Algarve,publica,16.5,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,90,"[{""year"": 2019, ""nota"": 14.4}, {""year"": 2020, ""nota"": 15.8}, {""year"": 2021, ""nota"": 16.2}, {""year"": 2022, ""nota"": 16.2}, {""year"": 2023, ""nota"": 16.5}, {""year"": 2024, ""nota"": 16.5}]"
0200_0201_9817,Artes Visuais,Universidade do Algarve,publica,14.5,Faro,Artes e Design,0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 13.7}, {""year"": 2020, ""nota"": 14.8}, {""year"": 2021, ""nota"": 15.2}, {""year"": 2022, ""nota"": 14.1}, {""year"": 2023, ""nota"": 14.1}, {""year"": 2024, ""nota"": 14.5}]"
0200_0201_9821,Ciências da Educação e da Formação,Universidade do Algarve,publica,14.0,Faro,Educação e Desporto,0.5,0.5,95.0,47,"[{""year"": 2019, ""nota"": 12.5}, {""year"": 2020, ""nota"": 13.4}, {""year"": 2021, ""nota"": 14.2}, {""year"": 2022, ""nota"": 14.1}, {""year"": 2023, ""nota"": 14.4}, {""year"": 2024, ""nota"": 14.0}]"
0200_0201_L252,Línguas e Comunicação Intercultural,Universidade do Algarve,publica,13.5,Faro,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,56,"[{""year"": 2022, ""nota"": 13.5}, {""year"": 2023, ""nota"": 14.2}, {""year"": 2024, ""nota"": 13.5}]"
0200_0203_8258,Arquitectura Paisagista,Universidade do Algarve,publica,14.7,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,43,"[{""year"": 2019, ""nota"": 13.2}, {""year"": 2020, ""nota"": 13.6}, {""year"": 2021, ""nota"": 14.7}, {""year"": 2022, ""nota"": 14.0}, {""year"": 2023, ""nota"": 14.4}, {""year"": 2024, ""nota"": 14.7}]"
0200_0203_9003,Agronomia,Universidade do Algarve,publica,13.8,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 12.2}, {""year"": 2020, ""nota"": 12.8}, {""year"": 2021, ""nota"": 13.1}, {""year"": 2022, ""nota"": 13.4}, {""year"": 2023, ""nota"": 12.9}, {""year"": 2024, ""nota"": 13.8}]"
0200_0203_9011,Biologia,Universidade do Algarve,publica,14.3,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,75,"[{""year"": 2019, ""nota"": 12.7}, {""year"": 2020, ""nota"": 13.5}, {""year"": 2021, ""nota"": 15.2}, {""year"": 2022, ""nota"": 14.8}, {""year"": 2023, ""nota"": 14.4}, {""year"": 2024, ""nota"": 14.3}]"
0200_0203_9013,Biologia Marinha,Universidade do Algarve,publica,14.6,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,84,"[{""year"": 2019, ""nota"": 13.1}, {""year"": 2020, ""nota"": 14.3}, {""year"": 2021, ""nota"": 15.0}, {""year"": 2022, ""nota"": 15.0}, {""year"": 2023, ""nota"": 14.8}, {""year"": 2024, ""nota"": 14.6}]"
0200_0203_9015,Bioquímica,Universidade do Algarve,publica,13.7,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,41,"[{""year"": 2019, ""nota"": 12.5}, {""year"": 2020, ""nota"": 13.3}, {""year"": 2021, ""nota"": 15.1}, {""year"": 2022, ""nota"": 14.7}, {""year"": 2023, ""nota"": 13.6}, {""year"": 2024, ""nota"": 13.7}]"
0200_0203_9016,Biotecnologia,Universidade do Algarve,publica,13.2,Faro,Engenharia e Tecnologia,0.5,0.5,95.0,37,"[{""year"": 2019, ""nota"": 12.4}, {""year"": 2020, ""nota"": 13.1}, {""year"": 2021, ""nota"": 14.9}, {""year"": 2022, ""nota"": 14.6}, {""year"": 2023, ""nota"": 14.4}, {""year"": 2024, ""nota"": 13.2}]"
0200_0203_9119,Engenharia Informática,Universidade do Algarve,publica,14.3,Faro,Engenharia e Tecnologia,0.5,0.5,95.0,115,"[{""year"": 2019, ""nota"": 13.2}, {""year"": 2020, ""nota"": 13.9}, {""year"": 2021, ""nota"": 13.5}, {""year"": 2022, ""nota"": 14.3}, {""year"": 2023, ""nota"": 14.8}, {""year"": 2024, ""nota"": 14.3}]"
0200_0203_9210,Matemática Aplicada à Economia e à Gestão,Universidade do Algarve,publica,13.9,Faro,Informática e Dados,0.5,0.5,95.0,38,"[{""year"": 2019, ""nota"": 13.6}, {""year"": 2020, ""nota"": 14.6}, {""year"": 2021, ""nota"": 14.2}, {""year"": 2022, ""nota"": 14.2}, {""year"": 2023, ""nota"": 14.0}, {""year"": 2024, ""nota"": 13.9}]"
0200_0203_9494,Ciências Farmacêuticas,Universidade do Algarve,publica,15.0,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,63,"[{""year"": 2019, ""nota"": 14.1}, {""year"": 2020, ""nota"": 15.2}, {""year"": 2021, ""nota"": 16.1}, {""year"": 2022, ""nota"": 15.8}, {""year"": 2023, ""nota"": 14.9}, {""year"": 2024, ""nota"": 15.0}]"
0200_0203_9540,Bioengenharia,Universidade do Algarve,publica,14.5,Faro,Engenharia e Tecnologia,0.5,0.5,95.0,30,"[{""year"": 2019, ""nota"": 13.4}, {""year"": 2020, ""nota"": 13.6}, {""year"": 2021, ""nota"": 14.0}, {""year"": 2022, ""nota"": 13.8}, {""year"": 2023, ""nota"": 14.5}, {""year"": 2024, ""nota"": 14.5}]"
0200_0203_L123,Gestão Marinha e Costeira,Universidade do Algarve,publica,12.8,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,48,"[{""year"": 2019, ""nota"": 11.9}, {""year"": 2020, ""nota"": 12.9}, {""year"": 2021, ""nota"": 13.6}, {""year"": 2022, ""nota"": 13.4}, {""year"": 2023, ""nota"": 12.9}, {""year"": 2024, ""nota"": 12.8}]"
0200_0204_9081,Economia,Universidade do Algarve,publica,13.8,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,60,"[{""year"": 2019, ""nota"": 13.3}, {""year"": 2020, ""nota"": 13.8}, {""year"": 2021, ""nota"": 13.6}, {""year"": 2022, ""nota"": 13.7}, {""year"": 2023, ""nota"": 13.6}, {""year"": 2024, ""nota"": 13.8}]"
0200_0204_9152,Gestão de Empresas,Universidade do Algarve,publica,15.7,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,87,"[{""year"": 2019, ""nota"": 14.4}, {""year"": 2020, ""nota"": 15.1}, {""year"": 2021, ""nota"": 15.6}, {""year"": 2022, ""nota"": 15.6}, {""year"": 2023, ""nota"": 15.3}, {""year"": 2024, ""nota"": 15.7}]"
0200_0204_9240,Sociologia,Universidade do Algarve,publica,14.3,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,48,"[{""year"": 2019, ""nota"": 13.4}, {""year"": 2020, ""nota"": 14.1}, {""year"": 2021, ""nota"": 14.5}, {""year"": 2022, ""nota"": 14.2}, {""year"": 2023, ""nota"": 14.6}, {""year"": 2024, ""nota"": 14.3}]"
0200_0206_9351,Ciências Biomédicas,Universidade do Algarve,publica,15.9,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,78,"[{""year"": 2019, ""nota"": 14.6}, {""year"": 2020, ""nota"": 14.6}, {""year"": 2021, ""nota"": 16.6}, {""year"": 2022, ""nota"": 16.9}, {""year"": 2023, ""nota"": 16.6}, {""year"": 2024, ""nota"": 15.9}]"
0200_3081_8337,Imagem Animada,Universidade do Algarve,publica,15.7,Faro,Artes e Design,0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 14.5}, {""year"": 2020, ""nota"": 14.9}, {""year"": 2021, ""nota"": 15.7}, {""year"": 2022, ""nota"": 16.1}, {""year"": 2023, ""nota"": 15.4}, {""year"": 2024, ""nota"": 15.7}]"
0200_3081_9023,Ciências da Comunicação,Universidade do Algarve,publica,15.5,Faro,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 14.4}, {""year"": 2020, ""nota"": 15.1}, {""year"": 2021, ""nota"": 15.4}, {""year"": 2022, ""nota"": 15.4}, {""year"": 2023, ""nota"": 15.7}, {""year"": 2024, ""nota"": 15.5}]"
0200_3081_9070,Design de Comunicação,Universidade do Algarve,publica,15.3,Faro,Artes e Design,0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 14.6}, {""year"": 2020, ""nota"": 14.7}, {""year"": 2021, ""nota"": 14.8}, {""year"": 2022, ""nota"": 14.8}, {""year"": 2023, ""nota"": 14.7}, {""year"": 2024, ""nota"": 15.3}]"
0200_3081_9084,Educação Social,Universidade do Algarve,publica,13.9,Faro,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 12.1}, {""year"": 2020, ""nota"": 13.3}, {""year"": 2021, ""nota"": 13.8}, {""year"": 2022, ""nota"": 14.2}, {""year"": 2023, ""nota"": 14.5}, {""year"": 2024, ""nota"": 13.9}]"
0200_3081_9563,Desporto,Universidade do Algarve,publica,14.8,Faro,Educação e Desporto,0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 13.5}, {""year"": 2020, ""nota"": 14.5}, {""year"": 2021, ""nota"": 14.6}, {""year"": 2022, ""nota"": 14.5}, {""year"": 2023, ""nota"": 15.2}, {""year"": 2024, ""nota"": 14.8}]"
0200_3081_9853,Educação Básica,Universidade do Algarve,publica,14.8,Faro,Educação e Desporto,0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 12.7}, {""year"": 2020, ""nota"": 14.2}, {""year"": 2021, ""nota"": 14.6}, {""year"": 2022, ""nota"": 14.4}, {""year"": 2023, ""nota"": 15.5}, {""year"": 2024, ""nota"": 14.8}]"
0200_3082_9147,Gestão,Universidade do Algarve,publica,15.1,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,168,"[{""year"": 2019, ""nota"": 13.8}, {""year"": 2020, ""nota"": 14.7}, {""year"": 2021, ""nota"": 14.8}, {""year"": 2022, ""nota"": 14.7}, {""year"": 2023, ""nota"": 15.4}, {""year"": 2024, ""nota"": 15.1}]"
0200_3082_9148,Gestão (regime nocturno),Universidade do Algarve,publica,13.6,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,119,"[{""year"": 2019, ""nota"": 11.7}, {""year"": 2020, ""nota"": 12.9}, {""year"": 2021, ""nota"": 12.9}, {""year"": 2022, ""nota"": 13.1}, {""year"": 2023, ""nota"": 13.5}, {""year"": 2024, ""nota"": 13.6}]"
0200_3082_9173,Gestão Hoteleira,Universidade do Algarve,publica,14.1,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,78,"[{""year"": 2019, ""nota"": 13.0}, {""year"": 2020, ""nota"": 14.1}, {""year"": 2021, ""nota"": 13.5}, {""year"": 2022, ""nota"": 14.0}, {""year"": 2023, ""nota"": 13.6}, {""year"": 2024, ""nota"": 14.1}]"
0200_3082_9205,Marketing,Universidade do Algarve,publica,15.4,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,55,"[{""year"": 2019, ""nota"": 13.3}, {""year"": 2020, ""nota"": 14.5}, {""year"": 2021, ""nota"": 15.0}, {""year"": 2022, ""nota"": 14.8}, {""year"": 2023, ""nota"": 15.1}, {""year"": 2024, ""nota"": 15.4}]"
0200_3082_9254,Turismo,Universidade do Algarve,publica,13.5,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,155,"[{""year"": 2019, ""nota"": 13.6}, {""year"": 2020, ""nota"": 13.8}, {""year"": 2021, ""nota"": 14.2}, {""year"": 2022, ""nota"": 13.7}, {""year"": 2023, ""nota"": 14.0}, {""year"": 2024, ""nota"": 13.5}]"
0200_3083_9089,Engenharia Civil,Universidade do Algarve,publica,14.7,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,56,"[{""year"": 2019, ""nota"": 13.9}, {""year"": 2020, ""nota"": 13.7}, {""year"": 2021, ""nota"": 14.1}, {""year"": 2022, ""nota"": 14.3}, {""year"": 2023, ""nota"": 14.4}, {""year"": 2024, ""nota"": 14.7}]"
0200_3083_9123,Engenharia Mecânica,Universidade do Algarve,publica,14.9,Faro,Engenharia e Tecnologia,0.5,0.5,95.0,60,"[{""year"": 2019, ""nota"": 13.1}, {""year"": 2020, ""nota"": 13.9}, {""year"": 2021, ""nota"": 14.8}, {""year"": 2022, ""nota"": 14.8}, {""year"": 2023, ""nota"": 14.8}, {""year"": 2024, ""nota"": 14.9}]"
0200_3083_L209,Engenharia Eletrotécnica e de Computadores,Universidade do Algarve,publica,15.0,Faro,Engenharia e Tecnologia,0.5,0.5,95.0,60,"[{""year"": 2021, ""nota"": 14.1}, {""year"": 2022, ""nota"": 14.6}, {""year"": 2023, ""nota"": 14.0}, {""year"": 2024, ""nota"": 15.0}]"
0200_3083_L269,Engenharia de Sistemas e Tecnologias Informáticas,Universidade do Algarve,publica,13.4,Faro,Informática e Dados,0.5,0.5,95.0,57,"[{""year"": 2022, ""nota"": 13.1}, {""year"": 2023, ""nota"": 12.9}, {""year"": 2024, ""nota"": 13.4}]"
0200_3087_9147,Gestão,Universidade do Algarve,publica,13.7,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,168,"[{""year"": 2019, ""nota"": 12.4}, {""year"": 2020, ""nota"": 13.2}, {""year"": 2021, ""nota"": 14.5}, {""year"": 2022, ""nota"": 14.0}, {""year"": 2023, ""nota"": 13.7}, {""year"": 2024, ""nota"": 13.7}]"
0200_3087_9148,Gestão (regime nocturno),Universidade do Algarve,publica,12.5,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,119,"[{""year"": 2019, ""nota"": 11.7}, {""year"": 2020, ""nota"": 12.4}, {""year"": 2021, ""nota"": 12.3}, {""year"": 2022, ""nota"": 13.0}, {""year"": 2023, ""nota"": 12.4}, {""year"": 2024, ""nota"": 12.5}]"
0200_3087_9254,Turismo,Universidade do Algarve,publica,12.7,Faro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,155,"[{""year"": 2019, ""nota"": 12.7}, {""year"": 2020, ""nota"": 13.0}, {""year"": 2021, ""nota"": 13.2}, {""year"": 2022, ""nota"": 12.9}, {""year"": 2023, ""nota"": 13.1}, {""year"": 2024, ""nota"": 12.7}]"
0200_7035_8149,Dietética e Nutrição,Universidade do Algarve,publica,14.0,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,43,"[{""year"": 2019, ""nota"": 12.9}, {""year"": 2020, ""nota"": 13.9}, {""year"": 2021, ""nota"": 14.5}, {""year"": 2022, ""nota"": 14.2}, {""year"": 2023, ""nota"": 14.1}, {""year"": 2024, ""nota"": 14.0}]"
0200_7035_9500,Enfermagem,Universidade do Algarve,publica,15.5,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 13.9}, {""year"": 2020, ""nota"": 15.7}, {""year"": 2021, ""nota"": 16.4}, {""year"": 2022, ""nota"": 15.7}, {""year"": 2023, ""nota"": 16.1}, {""year"": 2024, ""nota"": 15.5}]"
0200_7035_9504,Fisioterapia,Universidade do Algarve,publica,15.6,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,29,"[{""year"": 2021, ""nota"": 16.2}, {""year"": 2022, ""nota"": 15.9}, {""year"": 2023, ""nota"": 16.4}, {""year"": 2024, ""nota"": 15.6}]"
0200_7035_9549,Farmácia,Universidade do Algarve,publica,12.9,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,45,"[{""year"": 2019, ""nota"": 12.1}, {""year"": 2020, ""nota"": 13.4}, {""year"": 2021, ""nota"": 14.3}, {""year"": 2022, ""nota"": 13.8}, {""year"": 2023, ""nota"": 14.5}, {""year"": 2024, ""nota"": 12.9}]"
0200_7035_9890,Terapia da Fala,Universidade do Algarve,publica,,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,30,
0200_7035_L066,Imagem Médica e Radioterapia,Universidade do Algarve,publica,14.7,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 12.4}, {""year"": 2020, ""nota"": 14.1}, {""year"": 2021, ""nota"": 15.1}, {""year"": 2022, ""nota"": 14.7}, {""year"": 2023, ""nota"": 14.7}, {""year"": 2024, ""nota"": 14.7}]"
0200_7035_L068,Ciências Biomédicas Laboratoriais,Universidade do Algarve,publica,15.3,Faro,Ciências da Vida e Saúde,0.5,0.5,95.0,49,"[{""year"": 2019, ""nota"": 13.4}, {""year"": 2020, ""nota"": 14.6}, {""year"": 2021, ""nota"": 16.1}, {""year"": 2022, ""nota"": 15.4}, {""year"": 2023, ""nota"": 16.0}, {""year"": 2024, ""nota"": 15.3}]"
0300_0300_9002,Administração Pública,Universidade de Aveiro,publica,15.6,Aveiro,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,71,"[{""year"": 2019, ""nota"": 14.5}, {""year"": 2020, ""nota"": 15.1}, {""year"": 2021, ""nota"": 15.4}, {""year"": 2022, ""nota"": 15.5}, {""year"": 2023, ""nota"": 15.4}, {""year"": 2024, ""nota"": 15.6}]"
0300_0300_9011,Biologia,Universidade de Aveiro,publica,16.3,Aveiro,Ciências da Vida e Saúde,0.5,0.5,95.0,117,"[{""year"": 2019, ""nota"": 14.6}, {""year"": 2020, ""nota"": 15.9}, {""year"": 2021, ""nota"": 16.9}, {""year"": 2022, ""nota"": 16.4}, {""year"": 2023, ""nota"": 16.3}, {""year"": 2024, ""nota"": 16.3}]"
0300_0300_9012,Biologia e Geologia,Universidade de Aveiro,publica,15.4,Aveiro,Ciências da Vida e Saúde,0.5,0.5,95.0,35,"[{""year"": 2019, ""nota"": 12.4}, {""year"": 2020, ""nota"": 14.0}, {""year"": 2021, ""nota"": 15.7}, {""year"": 2022, ""nota"": 15.2}, {""year"": 2023, ""nota"": 15.2}, {""year"": 2024, ""nota"": 15.4}]"
0300_0300_9015,Bioquímica,Universidade de Aveiro,publica,15.9,Aveiro,Ciências da Vida e Saúde,0.5,0.5,95.0,70,"[{""year"": 2019, ""nota"": 15.2}, {""year"": 2020, ""nota"": 17.1}, {""year"": 2021, ""nota"": 17.7}, {""year"": 2022, ""nota"": 17.0}, {""year"": 2023, ""nota"": 16.2}, {""year"": 2024, ""nota"": 15.9}]"
0300_0300_9016,Biotecnologia,Universidade de Aveiro,publica,17.1,Aveiro,Engenharia e Tecnologia,0.5,0.5,95.0,70,"[{""year"": 2019, ""nota"": 16.1}, {""year"": 2020, ""nota"": 17.0}, {""year"": 2021, ""nota"": 17.5}, {""year"": 2022, ""nota"": 17.5}, {""year"": 2023, ""nota"": 17.4}, {""year"": 2024, ""nota"": 17.1}]"
